vid,frame,c1,c2,c3,image,weight_c1,weight_c2,weight_c3
1,29375,0.0,0.0,0.0,1_29375.jpg,1,1,1
1,29400,0.0,0.0,0.0,1_29400.jpg,1,1,1
1,29425,0.0,0.0,0.0,1_29425.jpg,1,1,1
1,29450,0.0,0.0,0.0,1_29450.jpg,1,1,1
1,29475,0.0,0.0,0.0,1_29475.jpg,1,1,1
1,29500,0.0,0.0,0.0,1_29500.jpg,1,1,1
1,29525,0.0,0.0,0.0,1_29525.jpg,1,1,1
1,29550,0.0,0.0,0.0,1_29550.jpg,1,1,1
1,29575,0.0,0.0,0.0,1_29575.jpg,1,1,1
1,29600,0.0,0.0,0.0,1_29600.jpg,1,1,1
1,29625,0.0,0.0,0.0,1_29625.jpg,1,1,1
1,29650,0.0,0.0,0.0,1_29650.jpg,1,1,1
1,29675,0.0,0.0,0.0,1_29675.jpg,1,1,1
1,29700,0.0,0.0,0.0,1_29700.jpg,1,1,1
1,29725,0.0,0.0,0.0,1_29725.jpg,1,1,1
1,29750,0.0,0.0,0.0,1_29750.jpg,1,1,1
1,29775,0.0,0.0,0.0,1_29775.jpg,1,1,1
1,29800,0.0,0.0,0.0,1_29800.jpg,1,1,1
1,29825,0.0,0.0,0.0,1_29825.jpg,1,1,1
1,29850,0.0,0.0,0.0,1_29850.jpg,1,1,1
1,29875,0.0,0.0,0.0,1_29875.jpg,1,1,1
1,29900,0.0,0.0,0.0,1_29900.jpg,1,1,1
1,29925,0.0,0.0,0.0,1_29925.jpg,1,1,1
1,29950,0.0,0.0,0.0,1_29950.jpg,1,1,1
1,29975,0.0,0.0,0.0,1_29975.jpg,1,1,1
1,30000,0.0,0.0,0.0,1_30000.jpg,1,1,1
1,30025,0.0,0.0,0.0,1_30025.jpg,1,1,1
1,30050,0.0,0.0,0.0,1_30050.jpg,1,1,1
1,30075,0.0,0.0,0.0,1_30075.jpg,1,1,1
1,30100,0.0,0.0,0.0,1_30100.jpg,1,1,1
1,30125,0.0,0.0,0.0,1_30125.jpg,1,1,1
1,30150,0.0,0.0,0.0,1_30150.jpg,1,1,1
1,30175,0.0,0.0,0.0,1_30175.jpg,1,1,1
1,30200,0.0,0.0,0.0,1_30200.jpg,1,1,1
1,30225,0.0,0.0,0.0,1_30225.jpg,1,1,1
1,30250,0.0,0.0,0.0,1_30250.jpg,1,1,1
1,30275,0.0,0.0,0.0,1_30275.jpg,1,1,1
1,30300,0.3333333333333333,0.0,0.0,1_30300.jpg,1,1,1
1,30325,0.3333333333333333,0.0,0.0,1_30325.jpg,1,1,1
1,30350,0.3333333333333333,0.0,0.0,1_30350.jpg,1,1,1
1,30375,0.3333333333333333,0.0,0.0,1_30375.jpg,1,1,1
1,30400,0.3333333333333333,0.0,0.0,1_30400.jpg,1,1,1
1,30425,0.0,0.0,0.0,1_30425.jpg,1,1,1
1,30450,0.0,0.0,0.0,1_30450.jpg,1,1,1
1,30475,0.0,0.0,0.0,1_30475.jpg,1,1,1
1,30500,0.0,0.0,0.0,1_30500.jpg,1,1,1
1,30525,0.0,0.0,0.0,1_30525.jpg,1,1,1
1,30550,0.3333333333333333,0.3333333333333333,0.3333333333333333,1_30550.jpg,1,1,1
1,30575,0.3333333333333333,0.3333333333333333,0.3333333333333333,1_30575.jpg,1,1,1
1,30600,0.3333333333333333,0.3333333333333333,0.3333333333333333,1_30600.jpg,1,1,1
1,30625,0.3333333333333333,0.3333333333333333,0.3333333333333333,1_30625.jpg,1,1,1
1,30650,0.3333333333333333,0.3333333333333333,0.3333333333333333,1_30650.jpg,1,1,1
1,30675,0.0,0.0,0.0,1_30675.jpg,1,1,1
1,30700,0.0,0.0,0.0,1_30700.jpg,1,1,1
1,30725,0.0,0.0,0.0,1_30725.jpg,1,1,1
1,30750,0.0,0.0,0.0,1_30750.jpg,1,1,1
1,30775,0.0,0.0,0.0,1_30775.jpg,1,1,1
1,30800,0.0,0.0,0.0,1_30800.jpg,1,1,1
1,30825,0.0,0.0,0.0,1_30825.jpg,1,1,1
1,30850,0.0,0.0,0.0,1_30850.jpg,1,1,1
1,30875,0.0,0.0,0.0,1_30875.jpg,1,1,1
1,30900,0.0,0.0,0.0,1_30900.jpg,1,1,1
1,30925,0.0,0.0,0.0,1_30925.jpg,1,1,1
1,30950,0.0,0.0,0.0,1_30950.jpg,1,1,1
1,30975,0.0,0.0,0.0,1_30975.jpg,1,1,1
1,31000,0.0,0.0,0.0,1_31000.jpg,1,1,1
1,31025,0.0,0.0,0.0,1_31025.jpg,1,1,1
1,31050,0.0,0.0,0.0,1_31050.jpg,1,1,1
1,31075,0.0,0.0,0.0,1_31075.jpg,1,1,1
1,31100,0.0,0.0,0.0,1_31100.jpg,1,1,1
1,31125,0.0,0.0,0.0,1_31125.jpg,1,1,1
1,31150,0.0,0.0,0.0,1_31150.jpg,1,1,1
1,31175,0.0,0.0,0.0,1_31175.jpg,1,1,1
1,31200,0.0,0.0,0.0,1_31200.jpg,1,1,1
1,31225,0.0,0.0,0.0,1_31225.jpg,1,1,1
1,31250,0.0,0.0,0.0,1_31250.jpg,1,1,1
1,31275,0.0,0.0,0.0,1_31275.jpg,1,1,1
1,31300,0.3333333333333333,0.0,0.0,1_31300.jpg,1,1,1
1,31325,0.3333333333333333,0.0,0.0,1_31325.jpg,1,1,1
1,31350,0.3333333333333333,0.0,0.0,1_31350.jpg,1,1,1
1,31375,0.3333333333333333,0.0,0.0,1_31375.jpg,1,1,1
1,31400,0.3333333333333333,0.0,0.0,1_31400.jpg,1,1,1
1,31425,0.0,0.0,0.0,1_31425.jpg,1,1,1
1,31450,0.0,0.0,0.0,1_31450.jpg,1,1,1
1,31475,0.0,0.0,0.0,1_31475.jpg,1,1,1
1,31500,0.0,0.0,0.0,1_31500.jpg,1,1,1
