image,c1,c2,c3,weight_c1,weight_c2,weight_c3
61f7f45c-b960-4ac4-8a4c-bb8244662c94_0.jpg,0.0,0.0,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_150.jpg,0.33333333333333337,0.33333333333333337,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_300.jpg,0.0,0.0,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_450.jpg,0.0,0.0,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_600.jpg,0.0,0.0,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_750.jpg,0.0,0.0,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_900.jpg,0.0,0.0,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_1050.jpg,0.33333333333333337,1.0,0.33333333333333337,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_1200.jpg,1.0,1.0,0.33333333333333337,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_1350.jpg,1.0,1.0,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_1500.jpg,1.0,1.0,0.33333333333333337,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_1650.jpg,0.0,0.33333333333333337,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_1800.jpg,0.0,0.0,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_1950.jpg,0.33333333333333337,0.33333333333333337,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_2100.jpg,0.33333333333333337,0.33333333333333337,0.0,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_2250.jpg,0.6666666666666666,0.6666666666666666,0.33333333333333337,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_2400.jpg,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,1
61f7f45c-b960-4ac4-8a4c-bb8244662c94_2550.jpg,1.0,1.0,0.6666666666666666,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_0.jpg,0.0,0.0,0.33333333333333337,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_150.jpg,0.0,0.0,0.33333333333333337,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_300.jpg,0.0,0.0,0.33333333333333337,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_450.jpg,0.0,0.0,0.33333333333333337,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_600.jpg,0.6666666666666666,0.33333333333333337,0.0,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_750.jpg,0.6666666666666666,1.0,0.33333333333333337,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_900.jpg,1.0,1.0,0.6666666666666666,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_1050.jpg,1.0,1.0,0.6666666666666666,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_1200.jpg,1.0,1.0,0.6666666666666666,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_1350.jpg,1.0,0.6666666666666666,1.0,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_1500.jpg,0.6666666666666666,0.6666666666666666,1.0,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_1650.jpg,1.0,1.0,1.0,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_1800.jpg,0.0,0.33333333333333337,0.0,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_1950.jpg,1.0,0.6666666666666666,1.0,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_2100.jpg,1.0,1.0,1.0,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_2250.jpg,1.0,1.0,1.0,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_2400.jpg,1.0,0.6666666666666666,1.0,1,1,1
2706d471-7e11-42e4-831d-17b7e28ba77c_2550.jpg,0.0,0.33333333333333337,1.0,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_0.jpg,0.0,0.0,0.6666666666666666,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_150.jpg,0.0,0.33333333333333337,0.33333333333333337,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_300.jpg,0.0,0.33333333333333337,0.33333333333333337,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_450.jpg,0.33333333333333337,1.0,0.0,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_600.jpg,0.33333333333333337,1.0,0.33333333333333337,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_750.jpg,0.33333333333333337,1.0,0.0,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_900.jpg,0.33333333333333337,0.33333333333333337,0.0,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_1050.jpg,0.33333333333333337,0.33333333333333337,0.0,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_1200.jpg,0.0,0.0,0.6666666666666666,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_1350.jpg,0.33333333333333337,1.0,0.33333333333333337,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_1500.jpg,0.33333333333333337,0.6666666666666666,0.0,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_1650.jpg,0.0,0.0,0.33333333333333337,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_1800.jpg,0.33333333333333337,0.33333333333333337,0.0,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_1950.jpg,0.0,0.0,0.6666666666666666,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_2100.jpg,0.33333333333333337,0.33333333333333337,0.0,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_2250.jpg,0.33333333333333337,0.6666666666666666,0.33333333333333337,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_2400.jpg,0.33333333333333337,0.0,0.0,1,1,1
7aacf762-fa96-46f6-bf70-fbfc660ed2e0_2550.jpg,0.33333333333333337,0.0,0.0,1,1,1
9650c863-9b84-44d7-bce8-70f3e64677cc_0.jpg,0.0,0.0,0.33333333333333337,1,1,1
9650c863-9b84-44d7-bce8-70f3e64677cc_150.jpg,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,1,1
9650c863-9b84-44d7-bce8-70f3e64677cc_300.jpg,0.33333333333333337,0.0,0.0,1,1,1
9650c863-9b84-44d7-bce8-70f3e64677cc_450.jpg,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,1,1
9650c863-9b84-44d7-bce8-70f3e64677cc_600.jpg,0.0,0.0,0.0,1,1,1
9650c863-9b84-44d7-bce8-70f3e64677cc_750.jpg,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,1,1
9650c863-9b84-44d7-bce8-70f3e64677cc_900.jpg,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,1,1
