vid,frame,c1,c2,c3,is_ds_keyframe,c1_rater1,c2_rater1,c3_rater1,c1_rater2,c2_rater2,c3_rater2,c1_rater3,c2_rater3,c3_rater3,image,weight_c1,weight_c2,weight_c3
1,29850,0.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,1_29850.jpg,1.0,1.0,1.0
1,29975,0.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,1_29975.jpg,1.0,1.0,1.0
1,30100,0.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,1_30100.jpg,1.0,1.0,1.0
1,30225,0.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,1_30225.jpg,1.0,1.0,1.0
1,30350,0.3333333333333333,0.0,0.0,True,0,0,0,0,0,0,1,0,0,1_30350.jpg,1.0,1.0,1.0
1,30475,0.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,1_30475.jpg,1.0,1.0,1.0
1,30600,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0,0,0,0,0,0,1,1,1,1_30600.jpg,1.0,1.0,1.0
1,30725,0.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,1_30725.jpg,1.0,1.0,1.0
1,30850,0.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,1_30850.jpg,1.0,1.0,1.0
1,30975,0.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,1_30975.jpg,1.0,1.0,1.0
1,31100,0.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,1_31100.jpg,1.0,1.0,1.0
1,31225,0.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,1_31225.jpg,1.0,1.0,1.0
1,31350,0.3333333333333333,0.0,0.0,True,0,0,0,1,0,0,0,0,0,1_31350.jpg,1.0,1.0,1.0
1,31475,0.0,0.0,0.0,True,0,0,0,0,0,0,0,0,0,1_31475.jpg,1.0,1.0,1.0
1,31600,0.6666666666666666,0.3333333333333333,0.3333333333333333,True,0,0,0,1,0,0,1,1,1,1_31600.jpg,1.0,1.0,1.0
1,31725,0.6666666666666666,0.3333333333333333,0.3333333333333333,True,0,0,0,1,0,0,1,1,1,1_31725.jpg,1.0,1.0,1.0
1,31850,0.6666666666666666,0.3333333333333333,0.3333333333333333,True,0,0,0,1,0,0,1,1,1,1_31850.jpg,1.0,1.0,1.0
1,31975,0.6666666666666666,0.3333333333333333,0.3333333333333333,True,0,0,0,1,0,0,1,1,1,1_31975.jpg,1.0,1.0,1.0
